label,text
0,المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه جزء كبير وستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ترتفع الفاتورة
1,اللهم اهدنا فيمن هديت وعافنا فيمن عافيت
1,حقيقة
0,عــرب جـــرب
1,ربك دايما جنبك لو نديته هتلاقيه
0,شكلك دايما متاخرة المدرسة
0,فعلا فضايح توقعتها شبابنا المتخلف اخلاقياً وصوتياً وبدنياً اها وعقلياً بالتأكيد
1,اللهم ارزقنا الاخلاص
0,قمة التخلف البشري الله يشفيهم
0,مساكين ها البشر
0,مقرف جداً الشخص
1,الله المستعان
0,معوقين﻿
1,﻿اللهم اعنا انفسنا اجعلنا نرى الدنيا صغيرة الآخرة كبير
1,اللي ربك دايما جمبك لو ناديتو هتلاقيه ايز ده اختبار ركز فالاجابه وقول يارب وخد قرار
0,سلطان القرف
0,﻿ العالم العربي متروس عاهات
0,اتصور لو ظليت اتعلق احسن لانه تعليقاتك مقرفة
0,عاهات
1,ربنا يثبته
0,طول عمر بخاف أمثالك يصبحوا مطربين
1,الله يبارك فيك جمــــــــــــــــــيله
1,قصة رائعه ياريت الرجال هيك
1,﻿يا عالي بلا درج
0,تسلم صرمايتك
0,وربي كلبتي جات جلست عندي أول فتحت هالفيديو ويوم خلص التفت وألاقيها نايمة
1,الحمد لله الحمد لله الحمد لله يسعنا الكون حمدا شكرا ففضلك ربي اعظم ربنا الاكرم
1,كلام سليم والصراحه راحه
1,اضحك تضحكلك الدني
1,يا رب قويني علي
0,يعني هيك برامج بتبين للناس وين صرنا كم صارت نسبة التخلف شباب امتنا
1,يا طيبة بالروح افتدينا
0,اخر واحد يادلوخ ياحمير تمثيل
0,فقد عجزت الكلمات
0,كلامك غاية الجديه صحيح
0,الله يجعل ابوك وامك اهل النار بتعيد هالحركه مره ثانيه
1,المهم الدعاء السجود تغسل عينيك الدموع
0,البرنامج فاشل
1,ربنا يحمى الاسلام والمسلمين
1,حفظ الله ابناء وبنات الأمة
1,﻿لا وحده القران انيسي ام الغرام فلا احتاجه مطلقا
0,﻿كل واحد حرامي بهمو مصلحة المسكين المواطن بشتغل ساعة دنانير
0,حرام السخرية الناس
0,رح مت
1,سننتصر اعدائنا
0,﻿احنا بدنا اياه لانا منفهم المفاعل النووي طاقتنا صعب علينا بكرة بذكركم سألوا الباص السريع الثقة معدومة القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات خ الافضل استغلال الطاقة الشمسية الريح الماء هروب التطور وانما الابتعاد الفشل الأكيد عبر التجارب
1,﻿السعي وراء الرزق عبادة جهاد
0,بكفينا اللي بنشوفو الدكاترة الو الواحد نفس يعمل اشي
0,﻿ طول عمري بخاف العوب وسيرة العوب
1,الله تعالى معان
1,والله الواحد بيدعي كثيرا ربنا يجعلنا طريق مستقيم
0,كدا عيييييييييييييييييييييب أودني راحت
0,المشكلة ناس تقنع حالها جورج وسوف علاقة بالأغاني
0,وهاي المضروبه جايخه وين
1,﻿أن الله يتخل عباده أبدا
0,جورج الزمنات بس حرام يفضحوهم
1,اللهم نسألك السلامة مثل الخيبة
1,احسنهم الله معهم
1,﻿سبحان الله بحمده عدد خلقه رضى زنة عرشه مداد كلماته
1,مدحتك بالقصائد ماوفيت
1,طيب الله انفاسك وياسلام لو الشباب الشابات احبو يحبون كجب شاه جاهان وممتاز محل
1,اللهم ثبتنا بالقول الثابت الحياة الدنيا الاخرة
1,كلام جى وقته
1,اروع صفحة
1,﻿ناس عزيزة المعزة فيهم صفات الصالحين العلية
1,اللهم انصر الإسلام وأعز المسلمين
1,يا رب تقوينا طاعتك
0,﻿ دمرني النصاني هودعيك يربي بطني
0,﻿ يلعن ام الحاله ياخي وناسه
1,شبابنا فيهم الخير بس بدهم حدا يرشدهم
1,﻿و نرجو دوام الخير المحبة الله الناس
0,ازنخ منك هاي الروابط اللي بتسم البدن تتعب يعني لما توخد الصورة وتنزلها تنزيل عادي
0,زماان المطربيين اللى غنو المعاتيه دول ولعو مقابرهم وبيعيطو بدل الدموع دم تراثهم اللى راح
1,فعلا ده صحىح مثلا زى سماع الاغانى تلهى زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك بذكره
1,يأس الحياه
0,﻿يجب الحكومة العودة بالتوقيت الساعة الثالثة
0,﻿ اكدب عليك منو اللي كاذب عليك
1,فاهجر تجد عوضا عما تفارقه
0,نذاله ههههههههههههههههه
1,ابتعد التشاؤم وعيش يومك بالتفاؤل لغد احلى
1,يا الله كلامك بلسم
1,شاء الله هنكمل مشوار النجاح
0,لجنة تاااافهة
1,﻿اقولها لكل احبابي
0,﻿و الله مش طبيعي حرام الله تنتشر السرقة النهب خرب الامان النشور
0,يع حاسة حالي بدي استفرغ
1,﻿لازم واحد فينا يفكر ايجابي يبعد عنه السلبيات
1,صباح النور السرور
1,﻿و ريحة الياس الحنة
0,﻿ شي مو طبيعي
0,﻿ متسمم فكره الولد وصارت حالته صعبه ياحنين
1,روشتة علاج لأخطر الإسقام بارك الله كاتبها
1,الله يرزقها مشتهي يا رب
0,يلعن ابو الاشكال بس
0,﻿بعدين الاردن تسبح بحر النفط الصخر الزيتي اشتغلو بالاول بيكفينا سنه
1,اللهم تجعل لحب الدنيا سلطانا قلبي بل اجعل حبك قلبي سلطانا
1,﻿الحمد لله نعمة الإسلام
0,المغرب براء منك الأقل كنت لهجتنا صعبة فتكلم باللغة العربية
0,البرنامج سوبر ستار يقلده دم ثقيل
1,نستجير بالله
0,الشب السوري مظلوم
0,﻿حسبي الله نعم الوكيل ظالم مفتري الله يعين الشعب
0,ياجماااعه يقولون بشار الاسد ماااات
0,جورج وسوف حلب مو طبيعي
0,﻿ طوقان بدور ع منصب يضل عشر سنين لقدام لاسئلان نووي سلامة الاردن
1,﻿صباحات النقاء الإبتسامات الصافية القلب
1,الله اخترت اسم غالى قلبى قوى ربنا يثبتك دين الاسلام اخترت صح بجد
0,وش يحسووون ناس مهبل
1,خلتنى ابتسم رغم انى مكتئبة
1,الله يا ريت كنا ذاك الزمن
1,اللهم ارزقنا وإياك الجنه
1,كلام رائع وقته وربنا قادر علي شئ
0,الله الظالمين
0,مايستحون
1,صباحكـ نقاء يشبه سريرتك
1,﻿كلامك يشعرني بالتفاؤل يمدني بالقوة الاستمرار
0,تكالبت الكلاب تسمح بالبروز البرنامج
0,يع يع يع الله يقرفه وهذي يللي﻿ تقول حمضيات وش دراه عمره ذايقه طعمه
1,﻿اللهم اصلح حال المسلمين اجعلهم الرباتين نحرج مما لانه خلصت النوايا صلحت الاعمال
0,﻿الاردن طاقة شمسية بتغنينا استخدام المفاعلات ،،، تخيلو معي الطريق عمان العقبة كلها ارض فاضية صحرا منقدر نستغلها بناء خلايا شمسية ،،،، احنا مش انا نتطور الدول المتطورة عم بتخلو الطاقة النووية اللي رافقها مشاكل صحية بيئية عديدة عم بسبتدلوها بالطاقة المتجددة ،،، طاقة نظيفة مكلفة
0,والله تحشيش
1,اللهم اعنا الخيرات
0,ياخي برنامج السامج
1,﻿البسك الله ثوب الصحه العافيه صباحك ورد
1,اللهم اسعد انسان
0,﻿و الله الله عباره أعاده تدوير للمخلفات النوويه الأردن بس الأرض الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله يسامحكم
0,جنييه
0,﻿ هذول مساجين ايش
1,والله رفعتوا راسنا يا شباب الله يقويكم
1,برك الله فيك وجعلاهاء مزان حسناتيك
1,﻿ما شك
1,اللهم تحرم احد النعمة
1,﻿الدعوة مش بالكلام بس ممكن نكون دعاة بأخلاقنا أسلوبنا تعاملنا
0,حد بيتحكم فيي
0,كافر ملعون جهنم باذن اللة
0,﻿ ابو معيتق قطع اوتار العود السلام عليكم
1,يارب توب علينا وساعدنا نتوب وبصرنا بعيوبنا لان ساعات كتير بننسه
1,اللهم انزع قلوبنا مالا يرضيك
0,﻿ شكل صوت منين جايبينهم هالكائنات الغريبة ااه يابطني بس
0,والله شويه عبط بيغنو والحكام كمان
1,صحيح الابتسامه تعابير كثيره
1,اللهم اهدنا صراطتك المستقيم
0,هبل
0,لجنة فاشله تتمسخر المتقدمين
1,اللهم اهدنا صراطك المستقيم
1,اهلا بيك دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير
0,استغفر الله مجانين يروحون سوبر ستار
1,اجمل نابلس
0,اجل الاخير واضح انو بيمثل وتمثيلو خايس والخايسين ذولا
1,﻿اللهم اصلح سرى علانيتى
0,مين وله؟
1,﻿ان النجاح يحتاج قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر
1,اسأل الله عزوجل الثبات
0,للأسف البعض يعتقد المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي اعلنت هيئة الطاقة يملك غالبية الأسهم تركيا سبيل المثال وذلك يعني الشريك سيمتلك الجزء الأكبر المفاعل ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي يوفر الكهرباء بسعر
0,خرى عليك
0,اخرسي صحيح تفهمي
1,﻿كنت أخادع الحيـاة لكي أعيش أريد الحياة خدعتني عشت تريد
1,ازعج شي الكذب
1,اللهم اجعلني يتشرف الاسلام
1,وانا الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو نفسهم لاننا عارفين ملجأ لله
1,التشائم يقتل الحياة
1,﻿صح فالابتسامه تصنع السعاده
0,ايه الهبل دا
1,صباح الفل
1,رحيم بكل شىء الكون الخالق فلابد يرزق مخلوقاته
1,صباحات الانوار
1,اكيد دى نعمه ربنا يديمها علينا
0,اللى فالحين العرب ، الهبل التخلف
1,كرامتي افضل سعادتي
0,التخلف مش فالحين منيح
1,بصمات راقية لأديب الدعوة محمد الغزالي
0,وين انجيب حرام عليكم
0,ايس شراع القرف
1,حلوه اوى
1,﻿الله احفظ احبابي اصدقائي الحسد الكيد الفتنة العين
1,﻿كلام طيب
1,يا رب قدرنى
0,برنامج ساقط
1,﻿صباح الخير السعادة لكم
0,مين معو دوا للصراصير جد لازمهم رش مبيد حشري للقضاء هيك حالات متخلفة
1,﻿كن الله تبالي
0,ك فشلوه مره صدق انهم دلوخ
0,واضح أغلب الناس هاي عندها مشاكل نفسيه
0,﻿ بكتب ع اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب
1,اللهم انر قلوب المسلمين ايقظهم غفلتهم
0,﻿ واثق الحبيب
1,يسعد اوقاتك
1,تحياتي ياشيخ
1,كن التغير تريد تراه
1,﻿الحمد لله نعمه تحصى الحمد لله تكفل برزقي الحمد لله لانه رب يستحق الحمد السراء الضراء
0,﻿ والله اول واحد سمعته منهم احسب سمااعتي خرباً يابطني الضحك والله زااااحفين
0,﻿احنا بدنا اياه لانا منفهم المفاعل النووي طاقتنا صعب علينا بكرة بذكركم سألوا الباص السريع الثقة معدومة القمح فاسد المصفاه مش حسب المواصفات الخضار الفواكه مواد كيماوية شوارع مش مصانة حفر مطبات خ الافضل استغلال الطاقة الشمسية الريح الماء هروب التطور انما الابتعاد الفشل الأكيد عبر التجارب
0,﻿ مين اللي ضآإحك عليهم وقآإيل أصوآإتهم حلوة
0,﻿يمكن امركا والصين بتحكي عنها مساحتها الأردن بمية يعني لو صار تسرب نووي مشكلة بتنحل الأردن مشكلة بتاثر البلد كلها بعدين احنا حكومتنا خلصة أنواع التطور ضايل بس تعمل برنامج نووي بتصير زي امريكا بجوز يعطوها حق النقض
1,الكرامة شيء
1,وهذه اكبر المشاكل تؤرق الشباب الايام
1,روعة الاشياء تبقى روائحها بقى اصحابها ام انصرفوا
1,﻿صباح ملؤه الحب العرفان
0,شعوب تافهه همها الحياة الدنيا فكروا نهايتكم
0,مسخرة﻿
1,المهم الصادق معي الناصح
0,تاااااافهين
1,الله يهدي الجميع ويوفقك
1,فعلا الله يبعدنا الكذب
0,اخر واحد حسسني اني لازم اطرش اروح الحمام
1,ربنا يقويكى اخد القرار الصح واحسنى الظن بالله وتوكلى وربنا يقويكى ضعفك ياااااااااارب ويعدك الغلط ده
0,﻿ وعرض اختي انك لاسع ياادمن عساس لو بدها تضرب هسة خايفة منك
1,﻿و خير الابتسامة
0,هدا ماهو عقل هدا تخلوف
1,توكلت عليك يا الله
0,صدق مجنون يستهبل وش القصة
0,حكي فاضي
0,حسبي الله عليكم لله بحاسبكم حد بينفتن بسلبكم لله يسامحكم
1,﻿ربنا يهدينا يهدي بينا أمة محمد الغافلين
1,أجمل شيء مخافة الله تعالى
0,والله عاهات
1,اروع برنامج الطريق الله
1,الله يبارك فيك ومرحبا يااخي الاسلام
1,انشاء الله هنعمل حاجه
1,الاسلام رهبانيه
0,﻿احنا بدنا اياه لانا منفهم المفاعل النووي طاقتنا صعب علينا بكرة بذكركم سألوا الباص السريع الثقة معدومة القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات خ الافضل استغلال الطاقة الشمسية الريح الماء هروب التطور وانما الابتعاد الفشل الأكيد عبر التجارب
1,﻿تسلم افكارك
1,ربنا اجعلنا الصالحين اهدنا الريق المستقيم
0,لان ديانا كرزون البغله الاردنيه تستحق
1,اتمنى يواسينا العرب بمصابنا
1,يجب المسلم يواسى اخوه الاسلام
1,﻿صباحك ورد ياسمين معطرين بنسمات الجنة يا شيخنا الجليل حفظك الله سوء ، نحبك الله
0,علي الطﻻق رجلك يا حجه بتسوى سﻻح العرب لمعفن
0,﻿عمدا فيهم نستعمل التدفئة نلبس فروه
0,اليابان اكلت هوا النووي احنا
0,﻿للأسف البعض يعتقد المفاعل النووي سيحل مشاكلنا الاقتصادية الأردن يمتلك موارد مالية يعني الحاجة لشريك أجنبي اعلنت هيئة الطاقة يملك غالبية الأسهم تركيا سبيل المثال وذلك يعني الشريك سيمتلك الجزء الأكبر المفاعل ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي يوفر الكهرباء بسعر
1,﻿اللهم اجعل ايمانا صادقا قلبا خاشعا علما نافعا
1,دخيل عينك يادكتور كلامك ذهب
0,لعنة الله الشيعة يوم الدين
0,اللي فالح بس يف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب ياولد الحرام
0,مش عارف اهلهم سمحولهم يقدمو البرنامج هادول شغل بطون
1,اكيد طبعا
1,اللهم عوض صبري
1,اللهم قني شر
0,﻿يعني بكل وضوح بدكوا تذلوا الشعب الأردني تخلوه شهور يصف طابور عشان يوخدلوا اكمن ليرة
0,قوة بالله ليش الحرج هدا
0,عذبت ام العود
0,عدا عنصريتكم البغيضة وجلافتكم وعنجهيتكم الفارغة بقية الشعوب
1,فعلا والله القرار والثبات
0,حرف الراء مصيبة ي ريس
1,صح علشان كدة منكذبش ونرتاح
1,﻿صباح مملوء بالخير لجميع المسلمين يا رب
0,﻿ نسيانك صعب اكيد
0,شعب سخيييييييييف
0,يعني أختار الاغنيــه اللي أغلب أحرفها الحرف اللي يقرط
1,﻿ نسأل الله العفو العافية
1,﻿من احبه الله حبب خلقه
0,بقلو بيضه حكي فارط احنا الاردنيه حد بيطلع معنا براس
0,﻿اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض
0,﻿للي مفكرين المفاعل راح يطورهم المفاعل راح يدمر الأردن المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى يعني الفاسدين رايحين يسمسروا يلهفوا لما يوصلوا اشكل مفاعل للأردن ناسين المفاعل يحتاج بحر ماء للتبريد لانملك ماء للشرب ناسين التطور بمشاركة الجميع بقرار فردي ناسين أقر المفاعل المحتكر الأول هيئة الطاقة شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية والتعليم ؟؟؟لدول المتقدمة بدأت تبحث بدائل للمفاعلات احنا بنشتري الخربان منهم مشان التقدم بلدنا بفضل الله لديها طاقة الرياح طاقة الشمس يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد صالح الجشع الطمع الفساد
0,نعرف نحل مشكلة المجاري بعدين منعمل مفاعلات
1,احسنت كلام دقيق جد
1,يارب اعني القرار
1,يتوكل الله حسبه
1,نفع الله بك يا دكتور
0,دمهم ثقيل
1,جامدة جد
0,نهايه مواطن طفران
0,اوقف القرار للحفاظ الوطن
0,انسان غريب
1,ربنا يوفق الجميع علي الخشوع
0,احس بمرض لاشفت هالبرنامج
1,﻿اللهم حسننا حسن اعمالنا ظاهرا باطنا تجعلنا نعمل يرضيك عنا برحمتك يا ارحم الراحمين
1,الدين
1,عليك بتقوى الله كنت غافلاً
0,تسوي مقلب محترمة بعدين اعترفت
0,اخر واحد اش فيه؟ مجنون؟؟ المفرووض اللجنة تمنع المجانين
0,واللله الناس دي شايلة ابدن علشان كده مسخرو نفسهم كرامتهم راحت
0,ابي اسمعهم يغنون احسهم امرض ذولا
1,نعم فالنجعل حب الله الغايه وربنايسامح تائب
0,منيك ولك
1,الحمد لله كلما ارى ناس اسلموا تعم الفرحة قلبي
1,اللهم اجعلنا اللذين يصلحون الارض يفسدون
0,اليابان اكلت هوا النووي احنا
0,رح اجتهد باني اكون حلوة يوم عرسي مش اكون متل القردة
0,عيني ع الصحبة بس اكيد وراها مصلحة
0,يخرب بيتك أزنخك
0,﻿التقدم الازدهار مرتبط بقواعد الأمن الشروع بناء المفاعل عليكم قراءة التقارير الصادرة هيئة الطاقة المخاطر سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره وسيكون المفاعل الاردني بديل أرض ستكون مكباً للنفايات النوويةة المطلع الله
1,﻿ اللهم عفوك رضاك الجنه
1,سأترك حبك كرها فيك ولكن لكثرة الشركاء فية
0,عاهات
1,حلو
1,اكرمك الله يا استاذي الفاضل
0,اعلن الانسحاب يا حمار
1,انا علي ثقه اني استطيع شئ لان صنع الله
0,لما اجد الجراح
0,سوبر سطار بلاش
1,يارب اجعلنى المصلحين
0,سامج
0,عليا النعمه ابدا الخروف التاني
1,ربنا يهديني ويجعلني الخاشعين والمسلمين اجمعين
0,هههههههههههههههههههههههههههههه­ههههه بكفي القعدة تبعته
0,﻿ مررة دلوع
0,كـلمـة حـبـ عـجـبـتـنـى جـيـتـ آقــؤلهـآ جــرحـتـنـى
0,لالا بس اغلبهم داريين بس يقولها استعباط ورفع ضعط خذها مني
1,﻿الحمد لله يُحمد مكره سواه
0,بس اللي قاهرني اللي ينطقون حرف الراء التغ جدهم جايين يبون يغنون
0,شو عادي يزم انتا عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير
1,صح فاقده الاثنين
1,الله أكرم ألآكرمين اللهم أعنا أنفسنا واللهم أرضى عنك يارب العالمين
0,اندهش لما عرف الحقيقة
1,الحمد لله هدانا لهذا
0,اصلن صاحب البرنامج ماخذ شباب الامه مصخره
1,﻿فعلا البداية كلهم رائعون
1,قولى يارب توكلى نعم المولى نعم الوكيل احتسبى عنده تظنين انك تقدرين
1,﻿الله اكبر دابتن الله رزقه
1,احبك ربي
1,صباح الورد الجوري الحمر والخمري
0,يلعن شرفك شو واثقة حالك
0,احسن هيك رئيس وزراء
0,يلعن اخت اليهود بدهم يرجعو شبر فلسطين هاالمنا
0,﻿ حلوه عدوله احس يفطر حشيش
1,الدين الله الإسلام الدين يجب يعتنقه إنسان علي وجه الأرض وليس العرب اللهم أهدي المسلمين دين الإسلام
0,مش باين منيح ليش عم تكذبو
0,يتسابقوووووووون جهــنم
0,بيخزي
0,شنو السالفه يعني اتقارنون القران الكريم ويه نجوه كرم هاي العرمه الله اله الله
1,﻿قصة جميلة تعكس معنى الايمان التمسك بالعقيدة الصحيحة حسن تعاليمها
0,﻿ أصلا ابو وديع لو اجا خسر
0,اجل اسقاط حكومة طروانة
0,غبيييي جده
1,مطلوب نصيحه منك لكي نستحضر الخشوع
1,العفو
0,اش التفاهه هاذي
0,يعني راح تعتزر
0,﻿ استخفف التحكيم
0,﻿يا عالم النواوي خطير بحرق الاخضر اليابس غلطة واحده كارثه
1,عجبتني
1,﻿ما شاء الله هلتفائل عنده
1,يارب ارزق العزيمة لاتخاذ القرار ويا رب اخلفنا خيرا
0,﻿ليش الطلاب فاضين يعملو مشاكل فاضين للدراسه يعني عندهم وقت فراغ للمشاكل
0,وهابيتك فحدث حرج الناس يقادون المساجد غصباً ويجلدون كالأبقار أبوا
1,الله يكتر امثالك يارب
0,اللي موافق عالمفاعل يبنيه جنب داره يسطح الواحد المتحذلقين اللي يخلوا حالهم مثل ابو العريف حد يفهم غيرهم ابع افقر دوله العالم المياه وتبنى مفاعل نووي استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا
0,﻿بس سكان اربد قريب المفاعل النووي جامعه التكنولوجيا بتشرب مياه اربد تبعد اقل متر باطن الارض حوض اليرموك مركز المفاعل بتقدر تعترض ين بدك تصرف المياه تخرج المفاعل تقولوا مفاعل التكنولوجيا تدريبي بس اسمه مفاعل بتخرج مخلفات نوويه الدول الاوروبيه بدات الاستغناء المفاعلات النوويه عندك مياه بالاردن اجل تشغيل المفاعل الحكم الاشخاص يقومون المشروع اسالوا الجولوجيين اثرها المياه الجوفية بتحداك بتسال خالد طوقان الاثار الجانبيه الفاعل النووي جاوبكوا لامي دكاترة جامعات مختصين الجولوجيا اثره المياه الجوفيه
0,انا شطبت
1,قمة البلاغة
1,﻿مااكرمك يا ربي يا كريم
1,﻿اللهم أرضنا أرضى علينا
0,وسدئيني انكووو كلاب
1,اصلي يروح الهم ينشرح صدري الصلاة
1,ايه الاحساس الراقى ده
0,هيك بيقولوا للأسف عجبت حدا نت جاهل يا يس تدعو الناس لقول اله الله محمد رسول الله نت غبي يا صاحبل البوست تفقه شيئا العلم الدين نت هيك تبين انك قمة الجهل العار كلاما جيدا محببا تتلفظ بالكلام السيئ نما تعجبنا كلنا لو قلت انطقوا بالشهادتين يا أولي الالباب
0,الله يخزيك
0,﻿التقدم والازدهار مرتبط بقواعد الأمن الشروع بناء المفاعل عليكم قراءة التقارير الصادرة هيئة الطاقة المخاطر سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره سيكون المفاعل الاردني بديل أرض ستكون مكباً للنفايات النوويةة المطلع الله
